 pos = (0.00, -0.07) theta = (-0.00
 pos = (0.00, -0.07) theta = (-0.00
 pos = (0.00, -0.07) theta = (-0.00
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.00, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.00
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.01, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.00
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.02, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.00
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.00
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.03, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.04, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.02
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.05, -0.07) theta = (-0.02
 pos = (0.05, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.01
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.06, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.07, -0.07) theta = (-0.03
 pos = (0.07, -0.07) theta = (-0.02
 pos = (0.08, -0.07) theta = (-0.02
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.02
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.08, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.03
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.09, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.04
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.10, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
 pos = (0.11, -0.07) theta = (-0.05
