P2P = (0.10, 0.09) Speed = (0.00, 0.00) pos = (0.00, -0.07) theta = -0.00
P2P = (0.10, 0.09) Speed = (0.02, 0.00) pos = (0.00, -0.07) theta = -0.00
P2P = (0.10, 0.09) Speed = (0.04, 0.04) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.09) Speed = (0.05, 0.04) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.09) Speed = (0.03, 0.03) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.03, 0.03) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.05, 0.04) pos = (0.00, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.05, 0.05) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.05, 0.05) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.00, -0.07) theta = -0.00
P2P = (0.09, 0.08) Speed = (0.05, 0.04) pos = (0.00, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.05, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.03, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.09, 0.08) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.03, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.08) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.04) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.03) pos = (0.01, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.04) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.04) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.04) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.04) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.04, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.02, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.08, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.07) Speed = (0.02, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.07) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.04, 0.04) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.04, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.02, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.04, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.03) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.02, 0.02) pos = (0.03, -0.07) theta = -0.01
P2P = (0.07, 0.06) Speed = (0.03, 0.02) pos = (0.03, -0.07) theta = -0.01
