P2P = (0.02, 0.13) Speed = (0.00, 0.00) pos = (0.15, 0.00) theta = 1.65
P2P = (0.02, 0.13) Speed = (0.00, 0.01) pos = (0.15, 0.00) theta = 1.65
P2P = (0.02, 0.13) Speed = (0.00, 0.03) pos = (0.15, 0.00) theta = 1.66
P2P = (0.02, 0.12) Speed = (0.00, 0.05) pos = (0.15, 0.00) theta = 1.66
P2P = (0.02, 0.12) Speed = (0.00, 0.06) pos = (0.15, 0.00) theta = 1.66
P2P = (0.02, 0.12) Speed = (0.01, 0.05) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.01, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.04) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.03, 0.04) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.03, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.04) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.02, 0.04) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.03, 0.02) pos = (0.15, 0.00) theta = 1.67
P2P = (0.02, 0.12) Speed = (0.01, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.00) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.03, 0.02) pos = (0.15, 0.01) theta = 1.67
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.02, 0.04) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.03, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.00, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.01, 0.00) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.00, 0.01) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.12) Speed = (0.01, 0.01) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.03, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.01, 0.11) Speed = (0.03, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.68
P2P = (0.01, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.01, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.01, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.01, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.01, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.01) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.03, 0.01) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.01, 0.03) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.69
P2P = (0.00, 0.11) Speed = (0.02, 0.02) pos = (0.15, 0.01) theta = 1.69
