P2P = (0.06, 0.06) Speed = (0.00, 0.00) pos = (0.56, 0.00) theta = 1.57
P2P = (0.06, 0.06) Speed = (0.00, 0.01) pos = (0.56, 0.00) theta = 1.57
P2P = (0.05, 0.06) Speed = (0.02, 0.00) pos = (0.57, 0.00) theta = 1.57
P2P = (0.05, 0.06) Speed = (0.04, 0.00) pos = (0.57, 0.00) theta = 1.57
P2P = (0.05, 0.06) Speed = (0.05, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.04, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.01, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.00, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.06) Speed = (0.01, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.00, 0.00) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.00) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.03) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.00, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.57
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.00) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.02, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.57
P2P = (0.05, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.00) pos = (0.57, 0.01) theta = 1.56
P2P = (0.04, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.05, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.57
P2P = (0.05, 0.05) Speed = (0.01, 0.03) pos = (0.57, 0.01) theta = 1.57
P2P = (0.04, 0.05) Speed = (0.02, 0.01) pos = (0.57, 0.01) theta = 1.57
P2P = (0.04, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.57
P2P = (0.04, 0.05) Speed = (0.02, 0.00) pos = (0.57, 0.01) theta = 1.56
P2P = (0.04, 0.05) Speed = (0.02, 0.01) pos = (0.57, 0.01) theta = 1.56
P2P = (0.04, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.04, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.56
P2P = (0.04, 0.05) Speed = (0.01, 0.02) pos = (0.57, 0.01) theta = 1.57
P2P = (0.04, 0.05) Speed = (0.01, 0.01) pos = (0.57, 0.01) theta = 1.56
