 pos = (0.15, 0.00) theta = (1.65
 pos = (0.15, 0.00) theta = (1.65
 pos = (0.15, 0.00) theta = (1.66
 pos = (0.15, 0.00) theta = (1.66
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.67
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.00) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.68
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.69
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
 pos = (0.15, 0.01) theta = (1.70
