 Speed = (0.00, 0.00) pos = (0.00, 0.00) theta = 0.00
 Speed = (0.00, 0.00) pos = (0.00, 0.00) theta = 0.00
 Speed = (0.02, 0.01) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.03, 0.00) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.00, 0.00) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.00, 0.01) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.02) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.02, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.00, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.00, 0.02) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.02, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.02, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.00, 0.02) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.00, 0.02) pos = (0.00, -0.00) theta = -0.00
 Speed = (0.01, 0.01) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.01
 Speed = (0.01, 0.00) pos = (0.00, -0.00) theta = -0.01
